Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
AGE CONSTRUÇÕES É COMÉRCIO LTDA;01.000.452/0001-36;02/08/2010;22000028001;R$ 2.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;34.696.559/0001-10;03/09/2010;22000028005;R$ 1.000,00;Cheque;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;22000028010;R$ 520,00;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;22000028009;R$ 2.000,00;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;20/09/2010;22000028015;R$ 600,00;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;29/09/2010;22000028012;R$ 37,40;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;30/08/2010;22000028017;R$ 907,80;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;22000028021;R$ 1.400,00;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;22/09/2010;22000028018;R$ 600,00;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;22000028016;R$ 161,40;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;22000028020;R$ 403,80;Estimado;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Estadual/Distrital para Senador da República;12.147.828/0001-56;16/09/2010;22000028004;R$ 5.000,00;Depósito em espécie;Comitê Financeiro Único;PR;AC;
Comitê Financeiro Único;12.147.828/0001-56;10/08/2010;22000028007;R$ 3.000,00;Cheque;Comitê Financeiro Único;PR;AC;
Diretório Nacional;08.517.423/0001-95;15/07/2010;22000028006;R$ 200.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AC;
NEO CONTRUÇÃO E COMÉRCIO LTDA;05.155.291/0001-00;13/08/2010;22000028002;R$ 3.000,00;Transferência eletrônica;Comitê Financeiro Único;PR;AC;
VETOR ENGENHARIA E CONSTRUÇÃO LTDA;03.692.641/0001-42;26/08/2010;22000028003;R$ 1.000,00;Cheque;Comitê Financeiro Único;PR;AC;
