Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
AGE CONSTRUÇÕES E COMERCIO LTDA.;01.000.452/0001-36;03/09/2010;10000049907;R$ 2.000,00;Transferência eletrônica;Comitê Financeiro Único;PRB;AC;
COLUNA CONSTRUÇÕES E COMERCIO LTDA.;03.488.438/0001-59;16/08/2010;10000049904;R$ 3.000,00;Cheque;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;20/09/2010;10000049918;R$ 2.250,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;10000049921;R$ 1.510,80;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;10000049916;R$ 1.950,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;30/08/2010;10000049922;R$ 3.177,30;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;22/09/2010;10000049917;R$ 1.642,50;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;10000049915;R$ 7.500,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;23/09/2010;10000049920;R$ 5.250,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;14/09/2010;10000049919;R$ 605,25;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;29/09/2010;10000049913;R$ 917,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;30/09/2010;10000049914;R$ 6.000,00;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Deputado Estadual;12.181.938/0001-34;29/09/2010;10000049912;R$ 139,50;Estimado;Comitê Financeiro Único;PRB;AC;
Comitê Financeiro Estadual/Distrital para Senador da República;12.147.828/0001-56;10/08/2010;10000049906;R$ 2.000,00;Cheque;Comitê Financeiro Único;PRB;AC;
CONSDUTRA CONSTRUTORA DUDRA LTDA;34.698.316/0001-10;02/08/2010;10000049901;R$ 3.000,00;Cheque;Comitê Financeiro Único;PRB;AC;
CONSTRUTORA FRIZONI LTDA.;84.327.295/0001-03;16/08/2010;10000049903;R$ 2.500,00;Cheque;Comitê Financeiro Único;PRB;AC;
Diretório Estadual/Distrital;34.696.559/0001-10;03/09/2010;10000049908;R$ 6.500,00;Cheque;Comitê Financeiro Único;PRB;AC;
SOLUS ENGENHARIA LTDA.;05.495.255/0001-96;18/08/2010;10000049905;R$ 2.000,00;Depósito em espécie;Comitê Financeiro Único;PRB;AC;
VETOR ENGENHARIA E CONSTRUÇÕES LTDA.;03.692.641/0001-42;30/07/2010;10000049902;R$ 1.000,00;Cheque;Comitê Financeiro Único;PRB;AC;
