Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
Comitê Financeiro Nacional para Presidente da República;12.181.943/0001-47;15/09/2010;27000015015;R$ 1.445,53;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;27/09/2010;27000015013;R$ 2.750,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;19/08/2010;27000015003;R$ 78.880,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;18/09/2010;27000015008;R$ 5.950,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;27/09/2010;27000015012;R$ 2.475,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;30/08/2010;27000015005;R$ 33.333,33;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;06/08/2010;27000015002;R$ 150.000,00;Cheque;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;27/09/2010;27000015011;R$ 2.750,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;01/09/2010;27000015006;R$ 50.000,00;Cheque;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;30/08/2010;27000015004;R$ 120.042,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;08/09/2010;27000015007;R$ 27.645,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;27/09/2010;27000015009;R$ 2.475,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Comitê Financeiro Único;12.200.075/0001-03;27/09/2010;27000015010;R$ 2.750,00;Estimado;Comitê Financeiro Único;PSDC;SP;
Diretório Nacional;01.127.628/0001-15;01/10/2010;27000015016;R$ 6.000,00;Estimado;Comitê Financeiro Único;PSDC;SP;
ELEIÇÃO 2010 ALOIZIO MERCADANTE OLIVA GOVERNADOR;12.181.719/0001-55;29/09/2010;27000015014;R$ 200,00;Estimado;Comitê Financeiro Único;PSDC;SP;
