Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
KEP JAN TECNOLOGIA EM VÍDEO E PRODUÇÃO LTDA;01.504.665/0001-03;30/09/2010;       Produção de programas de rádio, televisão ou vídeo;R$ 10.000,00;Cheque; -  -  / Comitê Financeiro Único - PHS - RJ;
;;04/10/2010;       Encargos financeiros e taxas bancárias;R$ 17,50;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 5,80;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;28/10/2010;       Encargos financeiros e taxas bancárias;R$ 13,50;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;28/09/2010;       Encargos financeiros e taxas bancárias;R$ 6,00;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;20/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,90;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;06/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,15;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;05/10/2010;       Encargos financeiros e taxas bancárias;R$ 5,80;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 0,35;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;05/10/2010;       Encargos financeiros e taxas bancárias;R$ 11,00;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
;;06/10/2010;       Encargos financeiros e taxas bancárias;R$ 3,00;Débito em conta; -  -  / Comitê Financeiro Único - PHS - RJ;
