Doador;CPF/CNPJ;Data;Nº Recibo Eleitoral;Valor R$;Espécie do Recurso;Tipo do Comitê;Partido;UF;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;11/08/2010;31000053707;R$ 200,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;31000053732;R$ 1.170,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/08/2010;31000053720;R$ 140,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/09/2010;31000053731;R$ 525,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;31000053733;R$ 130,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053745;R$ 225,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;26/08/2010;31000053716;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/09/2010;31000053727;R$ 70,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/09/2010;31000053736;R$ 17.500,00;Transferência eletrônica;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053744;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053748;R$ 390,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/08/2010;31000053708;R$ 2.040,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/09/2010;31000053729;R$ 97,50;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;25/08/2010;31000053712;R$ 77,50;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;26/08/2010;31000053715;R$ 247,50;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/08/2010;31000053719;R$ 390,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;10/09/2010;31000053728;R$ 97,50;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;14/09/2010;31000053734;R$ 35,76;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;17/09/2010;31000053738;R$ 89,40;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;11/08/2010;31000053705;R$ 375,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;11/08/2010;31000053706;R$ 17.500,00;Transferência eletrônica;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/08/2010;31000053721;R$ 165,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;31000053722;R$ 87,50;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;31000053726;R$ 35,76;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;15/09/2010;31000053735;R$ 130,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053743;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/07/2010;31000053703;R$ 1.200,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;06/08/2010;31000053704;R$ 600,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;19/08/2010;31000053710;R$ 750,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;27/08/2010;31000053717;R$ 115,20;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;31/08/2010;31000053718;R$ 600,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;31000053723;R$ 175,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;17/09/2010;31000053737;R$ 390,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;17/09/2010;31000053740;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053747;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;19/08/2010;31000053711;R$ 192,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;25/08/2010;31000053713;R$ 1.950,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;26/08/2010;31000053714;R$ 1.200,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;31000053724;R$ 144,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;13/09/2010;31000053730;R$ 620,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;17/09/2010;31000053739;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053741;R$ 960,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053742;R$ 260,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/09/2010;31000053746;R$ 780,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;21/07/2010;31000053701;R$ 2.236,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;09/09/2010;31000053725;R$ 288,00;Estimado;Comitê Financeiro Único;PHS;RO;
Comitê Financeiro Estadual/Distrital para Governador;12.205.276/0001-95;19/08/2010;31000053709;R$ 400,00;Estimado;Comitê Financeiro Único;PHS;RO;
